UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,UMAP16,UMAP17,UMAP18,UMAP19,UMAP20,Spectral_Cluster
12.941019,10.639186,4.6541643,5.3498883,4.6778207,6.1234827,5.289736,6.023112,5.6236935,4.7454224,6.3535194,4.469513,5.4948053,6.3031807,2.8334858,2.937313,4.451187,4.0927315,2.5673845,3.6408384,0
12.820165,11.187623,4.4568872,6.6925883,4.4665008,5.7513857,5.7062364,4.7467375,3.6364536,4.989006,6.0540056,3.984907,5.056949,6.370826,1.9486607,1.8292935,4.6322126,3.6628308,1.4619358,3.119235,3
13.037132,10.458101,4.282554,6.2952785,4.747989,5.645233,5.1245623,5.8200865,4.7424593,4.7450905,6.5320563,4.9589148,4.7777853,5.783904,2.0513427,2.0611346,4.537049,4.0496583,1.2785101,2.9629927,0
12.956216,10.849532,4.42632,6.558232,4.7599306,5.381387,5.412619,4.977249,3.6147146,4.9434476,6.272078,4.5593224,4.8050056,5.865267,1.9201064,1.8492317,4.670796,3.882976,1.4384341,3.0008323,3
12.853406,11.072611,4.413925,6.9280267,5.136629,4.973585,5.1496654,4.3654013,2.8242497,5.1678176,6.6608067,4.3748093,4.213682,5.559778,1.913177,1.6818491,4.9796486,4.176405,1.3297144,3.543425,3
12.863378,9.620478,4.473244,6.3598065,5.063953,4.8740797,5.2692466,4.65174,3.040927,5.039862,6.251619,4.7673764,4.6168704,5.615896,2.011643,1.928166,4.91988,4.3306637,1.8402523,3.1601307,3
12.88988,10.883524,4.434642,6.698099,4.7672186,5.232405,5.5209217,4.6004496,3.079303,5.0508275,6.224991,4.4230456,4.787013,5.8231897,1.8542552,1.7441,4.7610116,3.8429992,1.4765493,3.0233788,3
13.02102,10.711747,4.2862334,6.45425,4.3979154,6.0900106,5.3946557,5.887813,5.0549064,4.6557,6.2129016,4.614023,5.033097,6.3645,1.9283632,1.9378816,4.3863883,3.767447,1.043775,2.7433455,0
12.940332,10.6522665,4.6541057,5.352047,4.684934,6.114511,5.283483,6.0165052,5.6112785,4.74954,6.3620887,4.46883,5.486133,6.291017,2.8358212,2.9376874,4.4543767,4.096466,2.5691555,3.650633,0
-5.255826,4.3668327,3.1653802,1.9465039,5.6027336,5.2778373,3.3053637,5.800433,5.491857,4.0489197,8.113754,1.375518,7.4287567,8.731578,5.6144686,4.1128826,3.272643,1.4652225,4.349448,4.8394127,2
12.800624,8.594082,4.2690516,5.9614005,4.913177,5.274232,5.0839696,5.519072,4.279879,4.8430996,6.447259,5.0637255,4.774568,5.672953,2.2385697,2.2560587,4.8267293,4.5540466,1.8664643,3.1314394,4
-4.406463,4.4682508,3.4457493,1.6605946,5.457271,5.087598,3.3298604,6.0237865,4.9395294,3.7567837,8.033098,1.6409799,7.5080485,8.123702,5.6801586,4.224334,3.7222567,1.9095511,4.0312862,5.345709,2
12.923562,10.219446,4.177408,6.437083,4.757456,5.593711,5.1093636,5.669733,4.5135837,4.8107204,6.682723,4.9052224,4.6596837,5.685975,2.023524,1.9932647,4.6554894,4.121491,1.1988775,3.0393865,0
12.755178,8.106916,4.337024,5.8224897,4.9492435,5.152176,5.134062,5.3516364,4.0708623,4.8717136,6.27478,5.033844,4.8434772,5.742948,2.2941132,2.320727,4.889074,4.674437,2.129135,3.1670842,4
-4.6690154,4.3208013,3.381304,2.1036935,5.3694735,5.341658,3.3647935,5.6929545,5.556888,4.2073526,8.159837,1.4238813,7.1589484,8.573877,5.608763,4.2449927,3.3406498,1.4751189,4.392383,4.8999376,2
-4.9649396,4.3044043,3.170717,2.1544745,5.4433517,5.3086653,3.280678,5.681057,5.4470425,4.1931324,7.9255195,1.4670534,7.402812,8.530949,5.674299,4.145741,3.3327756,1.7434996,4.390378,5.0266347,2
12.937636,10.704184,4.643396,5.496919,4.668836,6.008575,5.3337426,5.862777,5.311126,4.7885475,6.2654533,4.446062,5.4378934,6.2552695,2.7046342,2.7890155,4.46247,4.0347896,2.437666,3.5006204,0
12.7987795,10.267954,4.1954303,6.6908326,4.8122067,5.386011,5.230489,5.0456715,3.7142043,4.992927,6.6698837,4.614096,4.5523615,5.658589,1.9607556,1.8348302,4.8308053,4.1219053,1.2478501,3.2042274,3
-3.9927764,4.2932153,3.4915571,2.0131097,5.327013,5.532063,3.536006,5.552818,5.54822,4.196279,8.092168,1.57003,7.0508614,8.473633,5.5600057,4.427326,3.5546548,1.6326187,4.5950155,4.5687284,2
12.75047,8.198179,4.2551074,5.944502,4.929626,5.2298822,5.069351,5.456975,4.214008,4.8551598,6.4111075,5.0487666,4.7402697,5.7179894,2.2504117,2.2589188,4.8853407,4.6696253,1.9111898,3.173554,4
12.78528,10.394414,4.3249407,6.5061746,4.8719587,5.3983064,5.2405863,4.956445,3.7366216,5.0249095,6.6165185,4.470035,4.6407466,5.742208,2.1392434,2.0090966,4.8407555,4.158189,1.5742056,3.4182134,3
12.613206,10.712178,4.136853,7.258741,4.2083755,5.959614,5.7944036,4.510554,3.4002764,5.049224,6.138685,3.6096282,4.845298,6.630731,1.6693407,1.4453313,4.7394314,3.6550274,0.8023358,3.086992,3
-4.4418707,4.4891148,3.4137485,1.629454,5.5185404,5.054983,3.2975492,6.056089,4.934868,3.7213764,8.014961,1.660313,7.566597,8.147446,5.652103,4.1918626,3.741927,1.9400742,4.0259323,5.3201942,2
12.953188,10.305793,4.143649,6.6041794,4.4512196,5.9811378,5.2880516,5.870981,4.91649,4.6741595,6.398387,4.732557,4.823057,6.187425,1.8433042,1.8284831,4.493265,3.9019132,0.8446239,2.7383065,0
12.869639,11.330484,4.5099397,6.687171,5.1146708,5.169628,5.1466584,4.542419,3.2218635,5.1198406,6.6439996,4.271176,4.377317,5.6777067,2.120022,1.9141672,4.895471,4.1357455,1.5880834,3.6883323,3
12.990775,10.838606,4.4400735,6.7598987,5.120216,4.91433,5.1578417,4.640184,3.005909,5.049409,6.4920807,4.7131886,4.3321476,5.498484,1.8344746,1.6895014,4.857382,4.137631,1.3272856,3.1969602,3
12.751462,11.179207,4.3586974,7.1494083,5.3132815,4.8933635,4.9776406,4.126587,2.6076412,5.281692,6.9893026,4.205265,3.8687937,5.4368196,1.9661015,1.6231469,5.158836,4.362723,1.2226628,3.964395,3
13.089634,10.635605,4.2686925,6.544072,4.603463,5.8078084,5.214076,5.8383617,4.818,4.6727524,6.341604,4.8480325,4.762591,6.1037574,1.8389997,1.8363789,4.4554653,3.9177167,0.9095091,2.7497835,0
12.893924,10.570812,4.4902663,6.318263,4.7831073,5.492988,5.3886642,5.037457,3.8960495,4.945936,6.2630043,4.44297,4.905598,6.0015807,2.1512966,2.0788007,4.694557,4.014158,1.7535889,3.2380981,3
12.761447,10.423005,4.328964,6.5799975,5.0531964,5.168206,5.119952,4.7407346,3.3909469,5.109066,6.7751656,4.492367,4.42311,5.5279484,2.1508045,1.9780205,4.959461,4.2883816,1.5997765,3.5976903,3
-4.464182,4.4975634,3.4256663,1.6146997,5.5141983,5.0389833,3.296891,6.070481,4.9191184,3.7105553,8.033909,1.6448674,7.5653486,8.142156,5.6587205,4.1857924,3.7316616,1.9035996,3.9972703,5.3420897,2
12.898312,11.109683,4.437906,6.780085,5.105214,5.099951,5.1251874,4.6025267,3.1780424,5.092072,6.6402125,4.432147,4.307955,5.6114893,1.9870362,1.7914408,4.892984,4.1550245,1.3899982,3.5146785,3
12.983724,10.159785,4.200542,6.399205,4.357294,5.97131,5.459293,5.911594,4.8789606,4.653687,6.194295,4.8278613,5.1131444,6.1829047,1.862021,1.9150839,4.419312,3.780974,1.0840508,2.5112433,0
13.082406,10.2926,4.2957077,6.240136,4.347357,5.978487,5.503138,6.0377016,5.000471,4.590621,6.0408525,4.931292,5.25552,6.2201147,1.8740687,1.9799174,4.319574,3.6972272,1.2013398,2.361964,0
12.764381,10.842802,4.2170916,6.9825892,4.667249,5.5413947,5.391338,4.7660174,3.4983585,5.0403943,6.5463567,4.2229023,4.5643673,5.955029,1.8410335,1.6545308,4.8115673,3.9246407,1.0466076,3.241112,3
12.858048,8.520757,4.347288,6.0418115,4.9481497,5.0255084,5.200282,5.2397637,3.7425635,4.8659873,6.199957,5.1342025,4.7854714,5.6498055,2.0669851,2.0912669,4.83951,4.494182,1.8746064,2.8958857,4
12.694069,12.183517,4.602611,6.980529,4.8454804,5.4357586,5.619676,3.8624895,2.642611,5.27303,6.3729825,3.4281182,4.656297,6.1940227,2.126999,1.8254489,4.89422,3.741176,1.7177246,3.921702,3
12.68758,6.598691,4.3389454,5.4615273,5.1743026,4.717026,5.0057178,5.326218,3.8005197,4.876951,6.228276,5.4491897,4.8197675,5.4330797,2.4015782,2.4842184,5.049534,5.0815372,2.5538373,3.112445,4
12.927706,10.485709,4.4978356,6.3872333,4.936358,5.13781,5.346334,4.8080177,3.3570342,5.009723,6.2855377,4.6321216,4.7601566,5.706856,2.0393078,1.9650388,4.7774534,4.069348,1.7555087,3.156924,3
12.945304,10.951585,4.553311,5.7984447,4.4993935,6.2393155,5.375842,5.9460473,5.5022225,4.7376328,6.246561,4.31061,5.3722043,6.4744143,2.5252767,2.5784307,4.3876534,3.8946447,1.9836768,3.3668087,0
-4.535712,4.233917,3.1137826,2.217716,5.3234754,5.475583,3.3924527,5.5060873,5.307787,4.2378516,7.6739225,1.6002431,7.436474,8.321845,5.7672815,4.262764,3.4739294,2.1004632,4.5664053,4.971016,2
12.9002,10.730731,4.4031034,6.726756,4.926817,5.0507965,5.37006,4.5906124,2.954785,5.0682564,6.3910203,4.5856037,4.5851216,5.5910254,1.8463812,1.722346,4.83673,3.9815915,1.4332857,3.077385,3
12.708525,7.4999747,4.4079084,5.5301847,5.1125507,4.924476,5.0656934,5.2784343,3.9343777,4.915011,6.270754,5.1594014,4.876637,5.5811567,2.4765637,2.5246363,4.985432,4.894281,2.5518503,3.3048124,4
12.823447,11.147949,4.3087306,6.7993407,4.7829795,5.609066,5.2335668,4.9622326,3.8819015,5.0028305,6.6493907,4.2306724,4.5247493,5.962901,2.0261674,1.8471292,4.771225,4.0038085,1.1967455,3.4750822,3
-5.1457086,4.366071,3.2555995,2.0905879,5.481732,5.226879,3.247165,5.783247,5.521881,4.1691976,8.117757,1.3584658,7.329185,8.652276,5.6293955,4.1029663,3.2307851,1.4415257,4.2810884,5.025106,2
12.971411,10.693834,4.560015,5.7318325,4.5814257,6.0124593,5.377321,5.875377,5.21843,4.748633,6.2031302,4.5189667,5.371967,6.283939,2.4788845,2.5606954,4.4289966,3.9442544,2.0832965,3.232107,0
12.974729,10.644063,4.433579,6.7729673,5.0979486,4.8996105,5.1988974,4.5991435,2.9377608,5.0470905,6.4299536,4.7150774,4.35393,5.53636,1.8024732,1.6572889,4.8697157,4.14569,1.3296465,3.135843,3
12.979269,10.429133,4.5265574,6.257176,4.698247,5.430546,5.521903,5.0910306,3.8020175,4.88271,6.0057864,4.6150513,5.075568,6.0302477,2.0159302,2.009425,4.603944,3.8925037,1.7559909,2.8774657,3
12.928948,9.731393,4.0985627,6.4278,4.659985,5.755458,5.0598316,5.9606156,4.936722,4.703406,6.6221175,5.0046706,4.659725,5.8697834,1.9683098,1.9669387,4.6000853,4.199603,1.0038086,2.8890069,0
12.723209,7.748342,4.4680867,5.39126,5.0978346,5.032588,5.07397,5.3701334,4.1521153,4.9064336,6.2776723,5.088154,4.9849386,5.64122,2.5985522,2.663796,4.938039,4.858995,2.7076006,3.4110954,4
12.964954,10.531019,4.327173,6.2373323,4.774182,5.59857,5.1856575,5.6098104,4.513105,4.8295927,6.5538726,4.816016,4.838907,5.7449946,2.1546464,2.1452098,4.6035633,4.0481434,1.5159725,3.1219485,0
12.940333,10.635012,4.5963,5.4958467,4.555915,6.2049556,5.3470783,6.080666,5.6704264,4.7132893,6.2455645,4.4404306,5.4985714,6.424406,2.6915495,2.7986717,4.4015636,4.009682,2.3137865,3.4354727,0
12.918349,11.215816,4.5688086,5.872452,4.717676,5.9175034,5.2852287,5.5885105,4.92473,4.871247,6.437942,4.3054786,5.163203,6.1365266,2.5587165,2.5523467,4.529572,3.9838471,2.1234503,3.6189601,0
12.963715,11.040783,4.5274854,6.2560573,5.099406,5.190768,5.103712,5.023818,3.7461836,5.019116,6.611365,4.638914,4.623398,5.5368953,2.256134,2.1748161,4.7708616,4.164933,1.8497798,3.5336032,3
-5.2157598,4.367944,3.1953204,1.9915956,5.6258316,5.232413,3.2432885,5.823973,5.534036,4.070174,8.126432,1.4188572,7.4205103,8.732126,5.5571938,4.0988626,3.3036728,1.5322438,4.3492785,4.879435,2
13.007956,10.270884,4.5010376,6.224405,4.5552015,5.569119,5.6135206,5.273521,4.0215273,4.80205,5.8593025,4.6721706,5.2245126,6.1764984,1.9496042,1.986494,4.51348,3.804221,1.6746292,2.6446364,0
13.033927,10.377052,4.2304387,6.5228972,4.841555,5.41428,5.087546,5.5840774,4.285162,4.805149,6.592,5.0319247,4.5677943,5.6169024,1.891741,1.862015,4.631683,4.0996118,1.0850004,2.9111073,3
12.836116,10.416937,4.1675816,6.91373,4.663571,5.4657946,5.349345,5.002127,3.6270316,4.9506574,6.4865994,4.5441866,4.571578,5.862856,1.7439864,1.6165897,4.761878,3.9681554,0.9447234,2.9612691,3
12.8594675,10.222656,4.252049,6.4554434,4.7037244,5.6032386,5.270764,5.371459,4.2347054,4.882301,6.5117073,4.6533155,4.778167,5.866562,2.0492685,1.9877584,4.693,4.0706277,1.3686365,3.1079981,3
12.699298,7.4242373,4.352758,5.7564406,5.1546297,4.762165,5.0583415,5.078943,3.5478306,4.953762,6.2984242,5.2051764,4.705621,5.4777718,2.3074982,2.3209984,5.056221,4.911444,2.3451629,3.207534,4
12.773616,11.05962,4.264946,6.917329,4.8383374,5.425797,5.24873,4.7247005,3.4637334,5.089991,6.7177124,4.24285,4.435273,5.789925,1.9614742,1.7547803,4.869204,4.031898,1.1769423,3.4854283,3
12.930112,10.128545,4.389414,6.6518636,4.9681983,4.9196634,5.3282814,4.6695814,2.933252,5.0182796,6.2851863,4.807236,4.556517,5.564479,1.7813934,1.6909919,4.8488007,4.116185,1.4301345,2.9135072,3
12.890255,9.765354,4.0674667,6.6022024,4.7058716,5.5957785,5.0943904,5.6904163,4.495904,4.783358,6.6670933,4.959704,4.5557885,5.7478657,1.8798562,1.8361447,4.688137,4.190819,0.93424106,2.905056,0
12.70591,7.474407,4.402909,5.5254188,5.1151443,4.929393,5.0557704,5.2929235,3.9573152,4.913398,6.283559,5.164399,4.8709106,5.5769963,2.4833622,2.5315862,4.9874463,4.9046793,2.5503166,3.313706,4
12.644497,6.1420894,4.317586,5.3605514,5.227079,4.624929,4.9494815,5.3364267,3.7753828,4.876535,6.2449903,5.5410633,4.7917237,5.3719935,2.4435604,2.5379431,5.1081424,5.2310123,2.6735528,3.1378465,4
13.000037,10.704019,4.291195,6.395784,4.5839763,5.8692718,5.260233,5.775836,4.8331327,4.7352295,6.4188395,4.707563,4.8887153,6.054961,2.0286324,2.0162096,4.483641,3.9015884,1.1943821,2.9503353,0
12.926453,10.517216,4.282708,6.4993834,4.480205,5.956083,5.394694,5.595855,4.688338,4.7544165,6.275662,4.505796,4.952294,6.285444,1.9758445,1.9354485,4.5185804,3.8682415,1.1733732,2.9172318,0
-4.993293,4.381746,3.281923,1.7832278,5.8221664,5.21521,3.257366,5.9503407,5.578895,3.8714893,8.302734,1.5800956,7.426077,8.815411,5.355159,4.1773252,3.5367653,1.6678443,4.4449754,4.645223,2
12.815035,11.120878,4.373493,6.978627,4.996811,5.115247,5.255783,4.375855,2.8864658,5.161089,6.608467,4.2658505,4.3242407,5.6823378,1.8850391,1.6548985,4.9439335,4.071356,1.270748,3.4812427,3
12.552665,12.500948,4.116039,7.5567036,4.1244116,6.063698,5.7724776,4.243584,3.2601204,5.121779,6.4490757,3.2158997,4.7931895,6.6833644,1.6764694,1.3948865,4.7772107,3.418718,0.5916245,3.5185683,3
12.838165,10.984947,4.408438,6.559034,4.9901304,5.324452,5.164441,4.836129,3.610465,5.0652323,6.688656,4.3885217,4.5220313,5.6800933,2.1676276,2.0070853,4.8454947,4.1341634,1.5870858,3.590619,3
12.94726,10.770106,4.568524,5.6336946,4.3737025,6.417395,5.463402,6.151135,5.8352275,4.665671,6.112195,4.3136663,5.5848656,6.669329,2.5800219,2.6872792,4.313368,3.8525589,2.0863636,3.2707663,0
12.982098,10.325052,4.268015,6.260792,4.7998805,5.57146,5.103089,5.735734,4.6132007,4.7931104,6.6166124,4.9570255,4.7511077,5.6778507,2.1086957,2.1091492,4.6073275,4.1169796,1.3899888,3.0595844,0
12.876251,10.00512,4.1320972,6.4819174,4.541177,5.874722,5.240904,5.7805634,4.80539,4.753032,6.518776,4.7422643,4.817082,6.030525,1.9857905,1.9592062,4.589824,4.046262,1.0802873,2.9263997,0
12.929259,10.211135,4.334976,6.6608195,4.7791967,5.177367,5.4275923,4.87545,3.2841983,4.9533844,6.233315,4.754666,4.719211,5.7340326,1.7588861,1.6916789,4.749161,3.9728897,1.3128325,2.7816896,3
